="",="(1)",="(2)",="(3)"
="",="=Offline price - Online price",="=Offline price - Online price",="=Offline price - Online price"
="",="b/se",="b/se",="b/se"
="=0 if the online price was collected on the exact same day (1 otherwise)",="-37.482*",="",="-37.872*"
="",="(17.97)",="",="(17.90)"
="=0 if regular price, 1 if discounted",="-9.208",="-15.410",=""
="",="(35.51)",="(35.39)",=""
="constant",="42.093***",="23.954**",="41.653***"
="",="(12.71)",="(9.28)",="(12.60)"
="r2",="0.000",="0.000",="0.000"
="df_r",="45250.000",="45251.000",="45251.000"
="bic",="811935.345",="811928.977",="811924.692"
="* p<0.05, ** p<0.01, *** p<0.001"
